legislator,role,district,party,residence,gender,desk_number,profession,notes,session_name,session_year,regular
"Kotek, Tina",Speaker,44,Democrat,Portion of Multnomah,Female,55,Business Management and Administration,NA,2017 Session,2017,TRUE
"Lewis, Rick",NA,18,Republican,Portions of Clackamas and Marion,Male,18,Retired,"Rick Lewis was appointed on February 23, 2017 to fill the vacancy of Vic Gilliam who resigned on February 1, 2017.",2017 Session,2017,TRUE
"Lininger, Ann",NA,38,Democrat,Portions of Clackamas and Multnomah,Female,37,"Law, Public Safety, Corrections and Security","Ann Lininger resigned on August 15, 2017. Andrea Salinas was appointed on September 18, 2017 to fill the vacancy.",2017 Session,2017,TRUE
"Lively, John",NA,12,Democrat,Portion of Lane,Male,26,Finance,NA,2017 Session,2017,TRUE
"Malstrom, Sheri",NA,27,Democrat,Portion of Washington,Female,19,Health Science,NA,2017 Session,2017,TRUE
"Marsh, Pam",NA,5,Democrat,Portion of Jackson,Female,27,Government and Public Administration,NA,2017 Session,2017,TRUE
"McKeown, Caddy",NA,9,Democrat,"Portions of Coos, Douglas, Lane and Lincoln",Female,58,Government and Public Administration,NA,2017 Session,2017,TRUE
"McLain, Susan",NA,29,Democrat,Portion of Washington,Female,20,Retired,NA,2017 Session,2017,TRUE
"McLane, Mike",Republican Leader,55,Republican,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",NA,2017 Session,2017,TRUE
"Meek, Mark",NA,40,Democrat,Portion of Clackamas,Male,21,"Marketing, Sales and Service",NA,2017 Session,2017,TRUE
"Nathanson, Nancy",NA,13,Democrat,Portion of Lane,Female,59,Government and Public Administration,NA,2017 Session,2017,TRUE
"Nearman, Mike",NA,23,Republican,"Portions of Benton, Marion, Polk and Yamhill",Male,24,Information Technology,NA,2017 Session,2017,TRUE
"Noble, Ron",NA,24,Republican,Portions of Washington and Yamhill,Male,16,Retired,NA,2017 Session,2017,TRUE
"Nosse, Rob",NA,42,Democrat,Portion of Multnomah,Male,13,Government and Public Administration,NA,2017 Session,2017,TRUE
"Olson, Andy",NA,15,Republican,Portions of Benton and Linn,Male,57,Government and Public Administration,NA,2017 Session,2017,TRUE
"Parrish, Julie",NA,37,Republican,Portions of Clackamas and Washington,Female,6,Business Management and Administration,NA,2017 Session,2017,TRUE
"Piluso, Carla",NA,50,Democrat,Portion of Multnomah,Female,10,Retired,NA,2017 Session,2017,TRUE
"Post, Bill",NA,25,Republican,Portion of Marion,Male,32,"Arts, Audio/Video Technology and Communications",NA,2017 Session,2017,TRUE
"Power, Karin",NA,41,Democrat,Portions of Clackamas and Multnomah,Female,22,"Law, Public Safety, Corrections and Security",NA,2017 Session,2017,TRUE
"Rayfield, Dan",NA,16,Democrat,Portion of Benton,Male,52,"Law, Public Safety, Corrections and Security",NA,2017 Session,2017,TRUE
"Reardon, Jeff",NA,48,Democrat,Portions of Clackamas and Multnomah,Male,45,Education and Training,NA,2017 Session,2017,TRUE
"Reschke, E. Werner",NA,56,Republican,Portions of Klamath and Lake,Male,25,"Marketing, Sales and Service",NA,2017 Session,2017,TRUE
"Sanchez, Tawna",NA,43,Democrat,Portion of Multnomah,Female,9,Human Services,NA,2017 Session,2017,TRUE
"Smith Warner, Barbara",NA,45,Democrat,Portion of Multnomah,Female,44,Government and Public Administration,NA,2017 Session,2017,TRUE
"Smith, David Brock",NA,1,Republican,"Curry and portions of Coos, Douglas and Josephine",Male,1,Business Management and Administration,NA,2017 Session,2017,TRUE
"Smith, Greg",NA,57,Republican,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,NA,2017 Session,2017,TRUE
"Sollman, Janeen",NA,30,Democrat,Portion of Washington,Female,5,"Marketing, Sales and Service",NA,2017 Session,2017,TRUE
"Sprenger, Sherrie",NA,17,Republican,Portions of Linn and Marion,Female,48,Business Management and Administration,NA,2017 Session,2017,TRUE
"Stark, Duane",NA,4,Republican,Portions of Jackson and Josephine,Male,31,Clergy,NA,2017 Session,2017,TRUE
"Vial, A. Richard",NA,26,Republican,"Portions of Clackamas, Washington and Yamhill",Male,2,"Agriculture, Food and Natural Resources",NA,2017 Session,2017,TRUE
"Whisnant, Gene",NA,53,Republican,Portion of Deschutes,Male,34,Retired,NA,2017 Session,2017,TRUE
"Williamson, Jennifer",Democratic Leader,36,Democrat,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",NA,2017 Session,2017,TRUE
"Wilson, Carl",NA,3,Republican,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",NA,2017 Session,2017,TRUE
"Witt, Bradley",NA,31,Democrat,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,NA,2017 Session,2017,TRUE
"Barker, Jeff",NA,28,Democrat,Portion of Washington,Male,3,Retired,NA,2016 Session,2016,TRUE
"Barnhart, Phil",NA,11,Democrat,Portions of Lane and Linn,Male,58,Government and Public Administration,NA,2016 Session,2016,TRUE
"Barreto, Greg",NA,58,Republican,"Union, Wallowa and portion of Umatilla",Male,1,Business Management and Administration,NA,2016 Session,2016,TRUE
"Barton, Brent",NA,40,Democrat,Portion of Clackamas,Male,35,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Bentz, Cliff",NA,60,Republican,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Boone, Deborah",NA,32,Democrat,Clatsop and portions of Tillamook and Washington,Female,38,Government and Public Administration,NA,2016 Session,2016,TRUE
"Buckley, Peter",NA,5,Democrat,Portion of Jackson,Male,60,Government and Public Administration,NA,2016 Session,2016,TRUE
"Buehler, Knute",NA,54,Republican,Portion of Deschutes,Male,16,Health Science,NA,2016 Session,2016,TRUE
"Clem, Brian",NA,21,Democrat,Portion of Marion,Male,46,Business Management and Administration,NA,2016 Session,2016,TRUE
"Davis, John",NA,26,Republican,"Portions of Clackamas, Washington and Yamhill",Male,41,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Doherty, Margaret",NA,35,Democrat,Portions of Multnomah and Washington,Female,17,Business Management and Administration,NA,2016 Session,2016,TRUE
"Esquivel, Sal",NA,6,Republican,Portion of Jackson,Male,56,"Marketing, Sales and Service",NA,2016 Session,2016,TRUE
"Evans, Paul",NA,20,Democrat,Portions of Marion and Polk,Male,2,Education and Training,NA,2016 Session,2016,TRUE
"Fagan, Shemia",NA,51,Democrat,Portions of Clackamas and Multnomah,Female,37,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Frederick, Lew",NA,43,Democrat,Portion of Multnomah,Male,14,"Arts, Audio/Video Technology and Communications",NA,2016 Session,2016,TRUE
"Gallegos, Joseph",NA,30,Democrat,Portion of Washington,Male,30,Business Management and Administration,NA,2016 Session,2016,TRUE
"Gilliam, Vic",NA,18,Republican,Portions of Clackamas and Marion,Male,18,Self-Employed,NA,2016 Session,2016,TRUE
"Gomberg, David",NA,10,Democrat,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,45,Business Management and Administration,NA,2016 Session,2016,TRUE
"Gorsek, Chris",NA,49,Democrat,Portion of Multnomah,Male,28,Education and Training,NA,2016 Session,2016,TRUE
"Greenlick, Mitch",NA,33,Democrat,Portions of Multnomah and Washington,Male,4,Government and Public Administration,NA,2016 Session,2016,TRUE
"Hack, Jodi",NA,19,Republican,Portion of Marion,Female,25,"Arts, Audio/Video Technology and Communications",NA,2016 Session,2016,TRUE
"Hayden, Cedric",NA,7,Republican,Portions of Douglas and Lane,Male,24,Health Science,NA,2016 Session,2016,TRUE
"Heard, Dallas",NA,2,Republican,"Portions of Douglas, Jackson and Josephine",Male,33,"Architecture, Construction and Skilled Trade",NA,2016 Session,2016,TRUE
"Helm, Ken",NA,34,Democrat,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Holvey, Paul",NA,8,Democrat,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",NA,2016 Session,2016,TRUE
"Hoyle, Val",NA,14,Democrat,Portion of Lane,Female,44,Government and Public Administration,NA,2016 Session,2016,TRUE
"Huffman, John",NA,59,Republican,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Architecture and Construction,NA,2016 Session,2016,TRUE
"Johnson, Mark",NA,52,Republican,Hood River and portions of Clackamas and Multnomah,Male,8,Architecture and Construction,NA,2016 Session,2016,TRUE
"Kennemer, Bill",NA,39,Republican,Portion of Clackamas,Male,15,Government and Public Administration,NA,2016 Session,2016,TRUE
"Keny-Guyer, Alissa",NA,46,Democrat,Portion of Multnomah,Female,11,Government and Public Administration,NA,2016 Session,2016,TRUE
"Komp, Betty",NA,22,Democrat,Portion of Marion,Female,27,Retired,NA,2016 Session,2016,TRUE
"Kotek, Tina",Speaker,44,Democrat,Portion of Multnomah,Female,55,Government and Public Administration,NA,2016 Session,2016,TRUE
"Krieger, Wayne",NA,1,Republican,"Curry and portions of Coos, Douglas and Josephine",Male,40,Government and Public Administration,NA,2016 Session,2016,TRUE
"Lininger, Ann",NA,38,Democrat,Portions of Clackamas and Multnomah,Female,29,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Lively, John",NA,12,Democrat,Portion of Lane,Male,26,Government and Public Administration,NA,2016 Session,2016,TRUE
"McKeown, Caddy",NA,9,Democrat,"Portions of Coos, Douglas, Lane and Lincoln",Female,36,Retired,NA,2016 Session,2016,TRUE
"McLain, Susan",NA,29,Democrat,Portion of Washington,Female,9,Retired,NA,2016 Session,2016,TRUE
"McLane, Mike",House Republican Leader,55,Republican,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Nathanson, Nancy",NA,13,Democrat,Portion of Lane,Female,43,Government and Public Administration,NA,2016 Session,2016,TRUE
"Nearman, Mike",NA,23,Republican,"Portions of Benton, Marion, Polk and Yamhill",Male,5,Information Technology,NA,2016 Session,2016,TRUE
"Nosse, Rob",NA,42,Democrat,Portion of Multnomah,Male,13,Government and Public Administration,NA,2016 Session,2016,TRUE
"Olson, Andy",NA,15,Republican,Portions of Benton and Linn,Male,57,Government and Public Administration,NA,2016 Session,2016,TRUE
"Parrish, Julie",NA,37,Republican,Portions of Clackamas and Washington,Female,6,Business Management and Administration,NA,2016 Session,2016,TRUE
"Piluso, Carla",NA,50,Democrat,Portion of Multnomah,Female,10,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Post, Bill",NA,25,Republican,Portion of Marion,Male,32,Government and Public Administration,NA,2016 Session,2016,TRUE
"Rayfield, Dan",NA,16,Democrat,Portion of Benton,Male,21,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Read, Tobias",NA,27,Democrat,Portion of Washington,Male,59,Business Management and Administration,NA,2016 Session,2016,TRUE
"Reardon, Jeff",NA,48,Democrat,Portions of Clackamas and Multnomah,Male,22,Retired,NA,2016 Session,2016,TRUE
"Smith Warner, Barbara",NA,45,Democrat,Portion of Multnomah,Female,19,Government and Public Administration,NA,2016 Session,2016,TRUE
"Smith, Greg",NA,57,Republican,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,NA,2016 Session,2016,TRUE
"Sprenger, Sherrie",NA,17,Republican,Portions of Linn and Marion,Female,49,Retired,NA,2016 Session,2016,TRUE
"Stark, Duane",NA,4,Republican,Portions of Jackson and Josephine,Male,31,Clergy,NA,2016 Session,2016,TRUE
"Taylor, Kathleen",NA,41,Democrat,Portions of Clackamas and Multnomah,Female,20,Government and Public Administration,NA,2016 Session,2016,TRUE
"Vega Pederson, Jessica",NA,47,Democrat,Portion of Multnomah,Female,52,Business Management and Administration,NA,2016 Session,2016,TRUE
"Weidner, Jim",NA,24,Republican,Portions of Washington and Yamhill,Male,39,Business Management and Administration,NA,2016 Session,2016,TRUE
"Whisnant, Gene",NA,53,Republican,Portion of Deschutes,Male,34,Retired,NA,2016 Session,2016,TRUE
"Whitsett, Gail",NA,56,Republican,Portions of Klamath and Lake,Female,48,"Agriculture, Food and Natural Resources",NA,2016 Session,2016,TRUE
"Williamson, Jennifer",House Democratic Leader,36,Democrat,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",NA,2016 Session,2016,TRUE
"Wilson, Carl",NA,3,Republican,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",NA,2016 Session,2016,TRUE
"Witt, Bradley",NA,31,Democrat,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,NA,2016 Session,2016,TRUE
"Barker, Jeff",NA,28,Democrat,Portion of Washington,Male,3,Retired,NA,2015 Session,2015,TRUE
"Barnhart, Phil",NA,11,Democrat,Portion of Lane and Linn,Male,58,Government and Public Administration,NA,2015 Session,2015,TRUE
"Barreto, Greg",NA,58,Republican,"Union, Wallowa and portion of Umatilla",Male,1,Business Management and Administration,NA,2015 Session,2015,TRUE
"Barton, Brent",NA,40,Democrat,Portion of Clackamas,Male,35,"Law, Public Safety, Corrections and Security",NA,2015 Session,2015,TRUE
"Bentz, Cliff",NA,60,Republican,"Baker, Grant, Harney, Malheur and portions of Lake",Male,31,"Law, Public Safety, Corrections and Security",NA,2015 Session,2015,TRUE
"Boone, Deborah",NA,32,Democrat,Clatsop and portions of Tillamook and Washington,Female,38,Government and Public Administration,NA,2015 Session,2015,TRUE
"Buckley, Peter",NA,5,Democrat,Portion of Jackson,Male,60,Government and Public Administration,NA,2015 Session,2015,TRUE
"Buehler, Knute",NA,54,Republican,Portion of Deschutes,Male,16,Health Science,NA,2015 Session,2015,TRUE
"Clem, Brian",NA,21,Democrat,Portion of Marion,Male,46,Business Management and Administration,NA,2015 Session,2015,TRUE
"Davis, John",NA,26,Republican,"Portions of Clackamas, Washington and Yamhill",Male,41,"Law, Public Safety, Corrections and Security",NA,2015 Session,2015,TRUE
"Doherty, Margaret",NA,35,Democrat,Portions of Multnomah and Washington,Female,17,Education and Training,NA,2015 Session,2015,TRUE
"Esquivel, Sal",NA,6,Republican,Portion of Jackson,Male,56,"Marketing, Sales and Service",NA,2015 Session,2015,TRUE
"Evans, Paul",NA,20,Democrat,Portions of Marion and Polk,Male,2,Education and Training,NA,2015 Session,2015,TRUE
"Fagan, Shemia",NA,51,Democrat,Portions of Clackamas and Multnomah,Female,37,"Law, Public Safety, Corrections and Security",NA,2015 Session,2015,TRUE
"Frederick, Lew",NA,43,Democrat,Portion of Multnomah,Male,14,"Arts, Audio/Video Technology and Communications",NA,2015 Session,2015,TRUE
"Gallegos, Joseph",NA,30,Democrat,Portion of Washington,Male,30,Business Management and Administration,NA,2015 Session,2015,TRUE
"Gilliam, Vic",NA,18,Republican,Portions of Clackamas and Marion,Male,18,Self-Employed,NA,2015 Session,2015,TRUE
"Gomberg, David",NA,10,Democrat,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,45,Business Management and Administration,NA,2015 Session,2015,TRUE
"Gorsek, Chris",NA,49,Democrat,Portion of Multnomah,Male,28,Education and Training,NA,2015 Session,2015,TRUE
"Greenlick, Mitch",NA,33,Democrat,Portions of Multnomah and Washington,Male,4,Government and Public Administration,NA,2015 Session,2015,TRUE
"Hack, Jodi",NA,19,Republican,Portion of Marion,Female,25,"Arts, Audio/Video Technology and Communications",NA,2015 Session,2015,TRUE
"Hayden, Cedric",NA,7,Republican,Portions of Douglas and Lane,Male,24,Health Science,NA,2015 Session,2015,TRUE
"Heard, Dallas",NA,2,Republican,"Portions of Douglas, Jackson and Josephine",Male,33,"Architecture, Construction and Skilled Trade",NA,2015 Session,2015,TRUE
"Helm, Ken",NA,34,Democrat,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",NA,2015 Session,2015,TRUE
"Holvey, Paul",NA,8,Democrat,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",NA,2015 Session,2015,TRUE
"Hoyle, Val",House Democratic Leader,14,Democrat,Portion of Lane,Female,51,Government and Public Administration,NA,2015 Session,2015,TRUE
"Huffman, John",NA,59,Republican,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Architecture and Construction,NA,2015 Session,2015,TRUE
"Johnson, Mark",NA,52,Republican,Hood River and portions of Clackamas and Multnomah,Male,8,Architecture and Construction,NA,2015 Session,2015,TRUE
"Kennemer, Bill",NA,39,Republican,Portion of Clackamas,Male,15,Government and Public Administration,NA,2015 Session,2015,TRUE
"Keny-Guyer, Alissa",NA,46,Democrat,Portion of Multnomah,Female,11,Government and Public Administration,NA,2015 Session,2015,TRUE
"Komp, Betty",NA,22,Democrat,Portion of Marion,Female,27,Retired,NA,2015 Session,2015,TRUE
"Kotek, Tina",Speaker,44,Democrat,Portion of Multnomah,Female,55,Government and Public Administration,NA,2015 Session,2015,TRUE
"Krieger, Wayne",NA,1,Republican,"Curry and portions of Coos, Douglas and Josephine",Male,40,Government and Public Administration,NA,2015 Session,2015,TRUE
"Lininger, Ann",NA,38,Democrat,Portions of Clackamas and Multnomah,Female,29,"Law, Public Safety, Corrections and Security",NA,2015 Session,2015,TRUE
"Lively, John",NA,12,Democrat,Portion of Lane,Male,26,Government and Public Administration,NA,2015 Session,2015,TRUE
"McKeown, Caddy",NA,9,Democrat,"Portions of Coos, Douglas, Lane and Lincoln",Female,36,Retired,NA,2015 Session,2015,TRUE
"McLain, Susan",NA,29,Democrat,Portion of Washington,Female,9,Retired,NA,2015 Session,2015,TRUE
"McLane, Mike",House Republican Leader,55,Republican,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",NA,2015 Session,2015,TRUE
